"District","mag","SDP ","Kok ","Kesk ","SKDL ","SMP ","RKP ","LKP ","SKL ","ÅS","Source","cst","cst_n"
"Åland ",1,,,,,,,,,1,"https://en.wikipedia.org/wiki/1970_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",11,3,2,3,2,1,"","","","",,5,"keski-suomen läänin"
"Häme ",14,5,4,2,2,1,"","","","",,3,"hämeen läänin eteläinen"
"Helsinki ",22,6,7,,4,,3,2,,,,2,"helsinki läänin"
"Kymi ",15,6,3,2,1,1,,1,1,"",,7,"kymen läänin"
"Lapland ",9,1,1,3,3,1,,,,,,8,"lapin läänin"
"North Karelia ",8,2,1,2,1,2,,,,,,11,"pohjoinen karialan läänin"
"North Savo ",11,2,2,3,2,2,"","","","",,6,"kuopion läänin"
"Oulu ",18,2,1,6,5,3,,1,"","",,10,"oulun läänin"
"Pirkanmaa ",13,4,4,1,3,1,"","","","",,4,"hämeen läänin pohjoinen"
"Satakunta ",13,4,2,2,3,1,,1,,,,12,"turun-porin läänin pohjoinen"
"South Savo ",10,3,1,4,1,1,"","","","",,9,"mikkelin läänin"
"Uusimaa ",20,7,3,2,3,1,3,1,"","",,14,"uudenmaan läänin"
"Vaasa ",19,3,3,4,2,2,4,1,"","",,15,"vaasan läänin"
"Varsinais-Suomi ",16,4,3,2,4,1,1,1,,,,13,"tutun-porin läänin eteläinen"
"Total ",200,52,37,36,36,18,11,8,1,1,,,
